id,Stock,MAE,MSE,RMSE,MAPE (%),Accuracy (%),Last Actual Price,Predicted Future Price,Predicted Rise,Rise Probability (%),Recommendation,Analysis,created_at
703,넷플릭스,13.6229,510.9992,22.6053,37.8954,62.1046,102.050003051758,129.676528930664,True,27.0715581114626,STRONG BUY,넷플릭스 is expected to rise by about 27.07%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
704,어도비,12.4729,300.9139,17.3469,12.3631,87.6369,229.940002441406,259.564453125,True,12.8835567404775,STRONG BUY,어도비 is expected to rise by about 12.88%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
705,컴캐스트,1.1578,1.9923,1.4115,8.3868,91.6132,28.3099994659424,29.9734764099121,True,5.87593421176468,STRONG BUY,컴캐스트 is expected to rise by about 5.88%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
706,페이팔,4.6051,37.1126,6.092,7.9712,92.0288,45.9799995422363,48.6497039794922,True,5.80622980390322,STRONG BUY,페이팔 is expected to rise by about 5.81%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
707,마이크로소프트,5.7843,69.466,8.3346,9.2529,90.7471,373.070007324219,391.164733886719,True,4.85022280195642,STRONG BUY,마이크로소프트 is expected to rise by about 4.85%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
708,테슬라,8.8724,165.9035,12.8804,90.661,9.339,345.619995117188,358.519134521484,True,3.73217394436994,STRONG BUY,테슬라 is expected to rise by about 3.73%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
709,몬델리즈,1.2009,2.2654,1.5051,4.4606,95.5394,59.0900001525879,60.8223571777344,True,2.93172621538842,STRONG BUY,몬델리즈 is expected to rise by about 2.93%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
710,애플,4.9,38.1587,6.1773,29.9258,70.0742,260.489990234375,260.646392822266,True,0.0600416882621487,BUY,애플 is expected to rise by about 0.06%. Consider buying or holding.,2026-04-10T11:03:00.612348+00:00
711,펩시코,3.5998,17.339,4.164,5.4659,94.5341,157.490005493164,155.080230712891,False,-1.53011283016177,SELL,펩시코 is expected to fall by about 1.53%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
712,암젠,6.299,62.9227,7.9324,6.4694,93.5306,355.600006103516,348.687164306641,False,-1.94399372278499,SELL,암젠 is expected to fall by about 1.94%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
713,허니웰 인터내셔널,4.3999,27.6175,5.2552,7.3121,92.6879,236.059997558594,230.456741333008,False,-2.37365766480421,SELL,허니웰 인터내셔널 is expected to fall by about 2.37%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
714,시스코,1.6653,4.0057,2.0014,7.6413,92.3587,83.1699981689453,80.4803161621094,False,-3.23395703505043,SELL,시스코 is expected to fall by about 3.23%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
715,스타벅스,2.2827,9.1308,3.0217,8.7178,91.2822,96.9199981689453,93.5700988769531,False,-3.45635509211713,SELL,스타벅스 is expected to fall by about 3.46%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
716,엔비디아,2.7139,15.4119,3.9258,272.5164,-172.5164,183.910003662109,174.354110717773,False,-5.19596147792605,SELL,엔비디아 is expected to fall by about 5.20%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
717,코스트코,16.483,399.8567,19.9964,19.4274,80.5726,1032.03002929688,973.926452636719,False,-5.63002771341325,SELL,코스트코 is expected to fall by about 5.63%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
718,S&P 500 ETF,6.6994,77.3751,8.7963,3.7589,96.2411,679.909973144531,636.176513671875,False,-6.43224267918768,SELL,S&P 500 ETF is expected to fall by about 6.43%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
719,AMD,4.1055,43.5847,6.6019,32.6513,67.3487,236.639999389648,220.167953491211,False,-6.96080372757035,SELL,AMD is expected to fall by about 6.96%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
720,텍사스 인스트루먼트,4.0155,29.3807,5.4204,8.578,91.422,214.979995727539,199.553421020508,False,-7.17581868714078,SELL,텍사스 인스트루먼트 is expected to fall by about 7.18%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
721,구글 A,3.7783,29.0933,5.3938,9.2066,90.7934,318.489990234375,295.054168701172,False,-7.35841698382949,SELL,구글 A is expected to fall by about 7.36%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
722,메타,11.8188,263.9949,16.2479,13.6861,86.3139,628.390014648438,581.29541015625,False,-7.49448644860083,SELL,메타 is expected to fall by about 7.49%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
723,QQQ ETF,8.7127,107.7789,10.3817,10.265,89.735,610.190002441406,563.210205078125,False,-7.69920798035237,SELL,QQQ ETF is expected to fall by about 7.70%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
724,구글 C,5.0274,41.7465,6.4612,18.3853,81.6147,316.369995117188,288.824401855469,False,-8.70676539711548,SELL,구글 C is expected to fall by about 8.71%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
725,아마존,4.0654,29.2638,5.4096,22.4459,77.5541,233.649993896484,211.18830871582,False,-9.61339001387481,SELL,아마존 is expected to fall by about 9.61%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
726,어플라이드 머티리얼즈,5.4423,52.6988,7.2594,25.1199,74.8801,397.809997558594,358.020172119141,False,-10.0022185675695,SELL,어플라이드 머티리얼즈 is expected to fall by about 10.00%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
727,브로드컴,4.9909,51.7968,7.197,109.2968,-9.2968,354.910003662109,318.825897216797,False,-10.1671145002906,SELL,브로드컴 is expected to fall by about 10.17%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
728,마이크론,5.9637,57.7148,7.597,34.0066,65.9934,421.510009765625,375.926940917969,False,-10.8142316413795,SELL,마이크론 is expected to fall by about 10.81%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
729,인텔,1.477,3.5921,1.8953,6.4039,93.5961,61.7200012207031,50.9471817016602,False,-17.4543410660681,SELL,인텔 is expected to fall by about 17.45%. A cautious approach is recommended.,2026-04-10T11:03:00.612348+00:00
