id,ticker,stock_name,buy_price,buy_date,quantity,exchange_code,atr,take_profit_price,stop_loss_price,status,sell_price,sell_date,sell_reason,profit_loss,profit_loss_pct,composite_score,created_at,holding_quantity
1,PEP,펩시코,159.55,2026-03-09T10:55:16+00:00,328,NASD,3.3062,167.82,154.59,buy_failed,,,,,,0.496,2026-03-09T14:55:16.978547+00:00,0
2,CMCSA,컴캐스트,30.76,2026-03-09T10:55:21+00:00,1535,NASD,0.8658,32.92,29.46,sold,29.195,2026-03-18T14:13:00.257769+00:00,stop_loss,-2388.46,-5.06,0.4385,2026-03-09T14:55:21.758165+00:00,0
3,PEP,펩시코,160.765,2026-03-10T10:34:46+00:00,294,NASD,3.3557,169.15,155.73,sold,155.71,2026-03-18T13:30:26.381074+00:00,stop_loss,-1486.17,-3.14,0.3969,2026-03-10T14:34:46.804452+00:00,0
4,NFLX,넷플릭스,95.8534,2026-03-11T10:35:09+00:00,449,NASD,3.3779,104.3,90.79,holding,,,,,,0.4932,2026-03-11T14:35:09.835869+00:00,449
5,HON,허니웰 인터내셔널,237.57,2026-03-12T10:35:16+00:00,163,NASD,5.3054,250.83,229.61,sold,230.475,2026-03-17T14:45:45.401979+00:00,stop_loss,-1146.7,-2.96,0.3552,2026-03-12T14:35:16.218042+00:00,0
6,AMAT,어플라이드 머티리얼즈,348.69,2026-03-16T10:30:44+00:00,99,NASD,15.9569,388.58,324.75,sold,344,2026-03-30T13:30:12.201213+00:00,signal,-463.32,-1.34,0.4195,2026-03-16T14:30:44.960431+00:00,0
7,COST,코스트코,1001.895,2026-03-16T10:30:49+00:00,31,NASD,18.8158,1048.93,973.67,sold,972.5576,2026-03-19T15:41:48.57711+00:00,stop_loss,-897.18,-2.89,0.3023,2026-03-16T14:30:49.683468+00:00,0
8,AAPL,애플,247.4749,2026-03-30T10:35:06+00:00,188,NASD,5.487,261.19,239.24,sold,260.955,2026-04-06T14:41:56.169259+00:00,take_profit,2536.12,5.45,0.361,2026-03-30T14:35:06.358388+00:00,0
9,PEP,펩시코,157.32,2026-03-30T10:35:11+00:00,267,NASD,3.2467,165.44,152.45,sold,152.475,2026-04-08T13:47:56.468893+00:00,stop_loss,-1291.21,-3.07,0.3507,2026-03-30T14:35:11.149887+00:00,0
10,ADBE,어도비,226.675,2026-04-10T10:34:04+00:00,209,NASD,8.6283,248.25,213.73,holding,,,,,,0.6167,2026-04-10T14:34:04.133634+00:00,209
